172.30.0.1 - - [18/Mar/2024:21:29:46 +0000] "GET /api/votes HTTP/1.1" 200 288 "-" "PostmanRuntime/7.37.0" kong_request_id: "de05ba7eb49abc49bb4e9161f32b7524"
172.30.0.1 - - [18/Mar/2024:21:29:59 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 401 96 "-" "PostmanRuntime/7.37.0" kong_request_id: "6f52b10e5db75d7a65417525c88de249"
172.30.0.1 - - [18/Mar/2024:21:30:01 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "29d9c02883e3e33e41ad136b0c643e04"
172.30.0.1 - - [18/Mar/2024:21:30:03 +0000] "GET /api/votes HTTP/1.1" 200 314 "-" "PostmanRuntime/7.37.0" kong_request_id: "189a0f12d0852c123a263d51bc439436"
172.30.0.1 - - [18/Mar/2024:21:31:18 +0000] "GET /api/votes HTTP/1.1" 404 103 "-" "PostmanRuntime/7.37.0" kong_request_id: "8043e011d64a2e715736ce45dc1b3114"
172.30.0.1 - - [18/Mar/2024:21:31:50 +0000] "GET /api/contestants HTTP/1.1" 404 103 "-" "PostmanRuntime/7.37.0" kong_request_id: "ce050f54b3c0b77856f6587494dec42e"
172.30.0.1 - - [18/Mar/2024:21:34:30 +0000] "GET /api/contestants HTTP/1.1" 200 265 "-" "PostmanRuntime/7.37.0" kong_request_id: "72f7a9016f35e21a79762917b5ed4b57"
172.30.0.1 - - [18/Mar/2024:21:34:44 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "8248580257a52a77e5b6971b604e1201"
172.30.0.1 - - [18/Mar/2024:21:34:46 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "0b40e740a005297d537a87257a92984f"
172.30.0.1 - - [18/Mar/2024:21:34:53 +0000] "GET /api/votes HTTP/1.1" 404 103 "-" "PostmanRuntime/7.37.0" kong_request_id: "fdbc8677b8bbfc4a42207b1926964720"
172.30.0.1 - - [18/Mar/2024:21:35:03 +0000] "GET /api/votes HTTP/1.1" 404 103 "-" "PostmanRuntime/7.37.0" kong_request_id: "3b9fe00984cd8e0433fa85245439f01b"
172.30.0.1 - - [18/Mar/2024:21:35:36 +0000] "GET /api/votes HTTP/1.1" 404 103 "-" "PostmanRuntime/7.37.0" kong_request_id: "5453bb166d20c375107d8452d5969b28"
172.30.0.1 - - [18/Mar/2024:21:35:48 +0000] "GET /api/votes HTTP/1.1" 200 368 "-" "PostmanRuntime/7.37.0" kong_request_id: "446bf16667b35218b1b2cc3c1271003b"
172.30.0.1 - - [18/Mar/2024:21:35:54 +0000] "GET /api/votes HTTP/1.1" 401 96 "-" "PostmanRuntime/7.37.0" kong_request_id: "1b740a1107a92531a64fc5698d6bb412"
172.30.0.1 - - [18/Mar/2024:21:35:58 +0000] "GET /api/votes HTTP/1.1" 200 368 "-" "PostmanRuntime/7.37.0" kong_request_id: "77de074c1fc6ee004259006af926604e"
172.30.0.1 - - [18/Mar/2024:21:36:09 +0000] "OPTIONS /api/votes/65f8a950162e61c79de7732c HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "766b1978271098055975724f81ab0039"
172.30.0.1 - - [18/Mar/2024:21:36:11 +0000] "OPTIONS /api/votes/65f8a958162e61c79de7732d HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "c715c102aceff974fb3d9908c4d2477a"
172.31.0.1 - - [18/Mar/2024:21:40:21 +0000] "OPTIONS /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "a0d10e0771b74d5dc4d10c416857941c"
172.31.0.1 - - [18/Mar/2024:21:40:23 +0000] "OPTIONS /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "49878e504e2f825975851436c9df5f1b"
172.31.0.1 - - [18/Mar/2024:21:41:06 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "2d2d23669d49c60c7477d2388a1e8c27"
172.31.0.1 - - [18/Mar/2024:21:41:09 +0000] "GET /api/votes HTTP/1.1" 200 395 "-" "PostmanRuntime/7.37.0" kong_request_id: "e6114830924f4033e73db94d7095664d"
192.168.0.1 - - [18/Mar/2024:21:43:09 +0000] "OPTIONS /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "c0fcbd4d40e2e35c6af62c42ae51dd53"
192.168.0.1 - - [18/Mar/2024:21:43:12 +0000] "OPTIONS /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "5a15e73f1f8f902dcb23106bc98c4b3c"
192.168.0.1 - - [18/Mar/2024:21:43:21 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "df29d447088f4811a72c16591e8ef53f"
192.168.0.1 - - [18/Mar/2024:21:43:24 +0000] "GET /api/votes HTTP/1.1" 200 422 "-" "PostmanRuntime/7.37.0" kong_request_id: "fabe050ed16487505fb8a7408d100151"
192.168.16.1 - - [18/Mar/2024:21:46:21 +0000] "POST /api/votes/65f8b2169193d7009bd1ae9a HTTP/1.1" 500 45 "-" "PostmanRuntime/7.37.0" kong_request_id: "6486bf054677fb143490b031e14e6212"
192.168.16.1 - - [18/Mar/2024:21:46:28 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "164eac63b930d33e070fc838a59d606d"
192.168.16.1 - - [18/Mar/2024:21:46:34 +0000] "GET /api/votes HTTP/1.1" 200 448 "-" "PostmanRuntime/7.37.0" kong_request_id: "abefc44e9fcd38474058f22659a0af6e"
192.168.16.1 - - [18/Mar/2024:21:47:59 +0000] "GET /api/votes HTTP/1.1" 401 81 "-" "curl/8.4.0" kong_request_id: "5d6df565ae3e0f799c4f797c63cae206"
192.168.16.1 - - [18/Mar/2024:21:48:00 +0000] "GET /api/votes HTTP/1.1" 200 448 "-" "curl/8.4.0" kong_request_id: "5e3246103a4761439e20801a77460b76"
192.168.16.1 - - [18/Mar/2024:21:48:28 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "curl/8.4.0" kong_request_id: "f67bec7f0f72b2342210eb06b04a100d"
192.168.16.1 - - [18/Mar/2024:21:49:59 +0000] "GET /api/votes HTTP/1.1" 200 475 "-" "PostmanRuntime/7.37.0" kong_request_id: "df9b776dca3ede312c705539995a240b"
192.168.16.1 - - [18/Mar/2024:21:51:10 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "curl/8.4.0" kong_request_id: "a2c60938d3c8127086318c30074dc93d"
192.168.32.1 - - [18/Mar/2024:21:54:06 +0000] "POST /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 200 50 "-" "PostmanRuntime/7.37.0" kong_request_id: "9198084a2a7796582d4f1e5ceba0fd3d"
192.168.32.1 - - [18/Mar/2024:21:54:09 +0000] "GET /api/votes HTTP/1.1" 200 529 "-" "PostmanRuntime/7.37.0" kong_request_id: "6bcd386dadfe180395735007ab290e4c"
192.168.32.1 - - [18/Mar/2024:21:54:44 +0000] "OPTIONS /api/votes/65f8b2489193d7009bd1ae9a HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "adbe5a02530d19308d6ff540817abe13"
192.168.32.1 - - [18/Mar/2024:21:54:47 +0000] "OPTIONS /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 404 103 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "01197802b781840956748b1a8aad2674"
192.168.48.1 - - [18/Mar/2024:21:57:08 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "curl/8.4.0" kong_request_id: "c28ad30e509e6a6d0aa88b52290b4e06"
192.168.48.1 - - [18/Mar/2024:21:58:42 +0000] "POST /api/votes/65f8b2169193d7009bd1ae99 HTTP/1.1" 200 50 "-" "curl/8.4.0" kong_request_id: "348a2a1394ac6f29f5fa05081a8c4928"
192.168.48.1 - - [18/Mar/2024:21:58:51 +0000] "GET /api/votes HTTP/1.1" 200 583 "-" "curl/8.4.0" kong_request_id: "b5327254ebbfc9620cb1055ee723c25a"
192.168.48.1 - - [18/Mar/2024:21:59:06 +0000] "GET /api/votes HTTP/1.1" 200 583 "-" "PostmanRuntime/7.37.0" kong_request_id: "101b7735fbf8281a37507027d1b9093f"
